Apartment_ID,Location,Postal Code,Number of Floors,Number of Rooms,Ceiling Finish,Room Size (sq. meters),Year Built,Month Built,Utilities Available,Price of Apartment,Price of Apartment (USD)
NRAS00024,NorthCentral_Kwara State_205 Unity Avenue,174801.0,12.0,1.0,Wood,18.962969549804672,1995.0,6.0,"Water Supply, Electricity, Internet",29705619.0,39607.492
NRAS00025,NorthCentral_Enugu State_312 Unity Avenue,514694.0,6.0,10.0,PVC,45.39749932403655,1981.0,6.0,"Water Supply, Solar Power, Gas, Electricity",13240630.0,17654.173333333332
NRAS00026,NorthWest_Enugu State_303 Broadway Road,591122.0,14.0,5.0,Gypsum,42.89427656080034,2004.0,10.0,"Electricity, Water Supply",22704229.0,30272.305333333334
NRAS00027,NorthCentral_Kaduna State_121 Broadway Road,646528.0,3.0,9.0,Gypsum,30.1989520436586,1981.0,11.0,"Internet, Electricity, Solar Power, Water Supply, Gas",1895640.0,2527.52
NRAS00028,SouthWest_Ebonyi State_3 Broadway Road,306211.0,10.0,7.0,Plaster,17.241180500665475,1981.0,6.0,"Solar Power, Gas",34606841.0,46142.454666666665
NRAS00029,SouthWest_Yobe State_345 Broadway Road,580450.0,13.0,4.0,POP,38.130594409134574,2001.0,12.0,"Gas, Solar Power, Electricity",27661402.0,36881.869333333336
NRAS00030,NorthCentral_Osun State_209 SDA Street,302123.0,6.0,5.0,PVC,19.18966811118623,1989.0,9.0,"Electricity, Water Supply, Solar Power, Gas",40185429.0,53580.572
NRAS00031,SouthEast_Ondo State_39 Main Street,627281.0,4.0,8.0,PVC,26.491169507446607,2011.0,12.0,"Water Supply, Electricity, Internet, Solar Power",13770279.0,18360.372
NRAS00032,NorthCentral_Lagos State_185 Unity Avenue,564502.0,5.0,4.0,Plaster,13.813721537262444,2018.0,4.0,"Gas, Water Supply, Solar Power",15697915.0,20930.553333333333
NRAS00033,NorthCentral_Ekiti State_213 Crescent Lane,477182.0,1.0,8.0,Gypsum,25.557078011418213,2016.0,4.0,"Water Supply, Gas, Internet, Solar Power",15928830.0,21238.44
NRAS00034,NorthCentral_Oyo State_80 SDA Street,897128.0,12.0,2.0,POP,31.07314931621625,2005.0,7.0,Gas,48579735.0,64772.98
NRAS00035,NorthCentral_Yobe State_93 Main Street,110781.0,,7.0,POP,36.857978406592125,1961.0,12.0,"Solar Power, Water Supply, Internet",28567954.0,38090.60533333333
NRAS00036,NorthWest_Anambra State_470 Broadway Road,539967.0,9.0,7.0,POP,48.07992715971993,1972.0,8.0,"Water Supply, Solar Power, Internet",45572512.0,60763.34933333333
NRAS00037,NorthEast_Abia State_324 Broadway Road,477944.0,3.0,4.0,Gypsum,31.180224311350223,1961.0,9.0,"Solar Power, Electricity, Gas, Internet",48757425.0,65009.9
NRAS00038,SouthWest_Yobe State_291 Unity Avenue,538919.0,12.0,3.0,Plaster,27.500385925796003,1972.0,5.0,"Electricity, Solar Power, Gas, Water Supply",6149688.0,8199.584
NRAS00039,NorthCentral_Lagos State_230 Crescent Lane,344592.0,15.0,9.0,Plaster,31.655911661095093,1987.0,12.0,Gas,2473680.0,3298.24
NRAS00040,NorthCentral_Plateau State_209 SDA Street,360024.0,13.0,3.0,Wood,32.59684600777633,1965.0,7.0,"Electricity, Gas",42485902.0,56647.869333333336
NRAS00041,NorthCentral_Osun State_210 Unity Avenue,803690.0,4.0,6.0,Plaster,10.045379331685332,2023.0,1.0,"Internet, Electricity, Solar Power",25331897.0,33775.86266666667
NRAS00042,SouthEast_Abia State_229 Broadway Road,116818.0,11.0,2.0,Plaster,47.369820948620855,1995.0,9.0,"Gas, Internet, Water Supply",15581982.0,20775.976
NRAS00043,SouthEast_Bauchi State_92 Broadway Road,686484.0,10.0,7.0,PVC,22.186435082689723,1983.0,4.0,Solar Power,21333833.0,28445.110666666667
NRAS00044,SouthEast_Plateau State_373 Broadway Road,346941.0,3.0,7.0,Gypsum,10.764391115449312,1955.0,1.0,"Electricity, Internet",40070055.0,53426.74
NRAS00045,NorthWest_Zamfara State_125 Unity Avenue,559830.0,14.0,7.0,POP,41.33236855662816,1986.0,7.0,Solar Power,42587504.0,56783.33866666667
NRAS00046,SouthWest_Kaduna State_24 Main Street,811455.0,15.0,9.0,POP,26.161175814310845,2007.0,11.0,"Internet, Water Supply, Gas",11316166.0,15088.221333333331
NRAS00047,NorthCentral_Imo State_106 Unity Avenue,417289.0,13.0,4.0,Plaster,43.41061613860473,2020.0,11.0,Water Supply,3672645.0,4896.86
NRAS00048,SouthEast_Adamawa State_265 Broadway Road,442552.0,8.0,10.0,PVC,15.12206020197832,1970.0,2.0,"Water Supply, Internet, Electricity",26292803.0,35057.07066666667
NRAS00049,NorthEast_Kogi State_329 Unity Avenue,277083.0,13.0,10.0,Gypsum,23.13731803248773,1952.0,11.0,"Solar Power, Internet, Electricity, Water Supply, Gas",8267024.0,11022.698666666667
NRAS00050,NorthEast_Sokoto State_50 Broadway Road,508633.0,1.0,2.0,Wood,37.40837569148507,1996.0,12.0,"Solar Power, Gas, Internet, Electricity",49057364.0,65409.818666666666
NRAS00051,SouthEast_Benue State_157 Unity Avenue,547228.0,12.0,5.0,Gypsum,13.186871375279573,1973.0,6.0,"Electricity, Internet, Gas",43424129.0,57898.83866666667
NRAS00052,NorthEast_Enugu State_18 Crescent Lane,184917.0,15.0,7.0,Plaster,13.937634901294832,1973.0,6.0,Gas,23076325.0,30768.43333333333
NRAS00053,NorthCentral_Bauchi State_166 Unity Avenue,374511.0,12.0,2.0,PVC,29.12427699234761,1956.0,6.0,"Electricity, Solar Power",44723654.0,59631.53866666667
NRAS00054,,875601.0,12.0,3.0,PVC,30.804147412692192,1995.0,11.0,Gas,4613267.0,6151.022666666667
NRAS00055,NorthEast_Ebonyi State_410 Unity Avenue,991284.0,9.0,10.0,Gypsum,49.48995871898397,2009.0,12.0,"Electricity, Gas, Internet, Water Supply",42881873.0,57175.83066666667
NRAS00056,NorthWest_Borno State_223 Unity Avenue,765689.0,8.0,3.0,PVC,12.927727773614738,1996.0,11.0,"Electricity, Water Supply",24422183.0,32562.910666666667
NRAS00057,SouthEast_Kano State_230 Main Street,172612.0,12.0,3.0,POP,35.19409287504363,2007.0,8.0,Solar Power,40420892.0,53894.52266666666
NRAS00058,SouthEast_Bauchi State_114 Main Street,344818.0,10.0,10.0,Gypsum,20.73518615827532,1989.0,12.0,Solar Power,48731057.0,64974.742666666665
NRAS00059,SouthWest_Ondo State_102 Crescent Lane,115024.0,7.0,10.0,PVC,20.91866370513584,1996.0,1.0,"Internet, Solar Power, Gas, Electricity",11179230.0,14905.64
NRAS00060,SouthWest_Bauchi State_197 Unity Avenue,814179.0,10.0,2.0,Wood,18.79717515302882,2005.0,2.0,"Water Supply, Electricity, Internet",16295179.0,21726.90533333333
NRAS00061,NorthWest_Sokoto State_288 Crescent Lane,847359.0,11.0,2.0,Wood,18.294561487382687,1999.0,1.0,"Solar Power, Gas",32653439.0,43537.918666666665
NRAS00062,NorthWest_Lagos State_160 SDA Street,838419.0,5.0,9.0,Gypsum,35.61942142294724,2004.0,12.0,"Gas, Electricity",18270252.0,24360.336
NRAS00063,NorthEast_Adamawa State_368 Main Street,509235.0,14.0,9.0,POP,12.531069541758942,1983.0,5.0,"Internet, Electricity, Solar Power",46643494.0,62191.32533333333
NRAS00064,SouthEast_Benue State_148 Main Street,629702.0,3.0,5.0,PVC,42.3055779210998,2016.0,1.0,"Internet, Electricity, Water Supply, Solar Power",29644986.0,39526.648
NRAS00065,SouthWest_Plateau State_373 Main Street,143196.0,5.0,4.0,Wood,13.28989613143294,1984.0,5.0,"Gas, Internet",8881624.0,11842.165333333332
NRAS00066,SouthWest_Kaduna State_322 Unity Avenue,232115.0,5.0,4.0,POP,27.14385653241972,2025.0,6.0,"Electricity, Solar Power, Internet, Water Supply",10179395.0,13572.526666666668
NRAS00067,NorthWest_Bauchi State_68 Main Street,254540.0,3.0,2.0,Plaster,15.073404980721891,2012.0,2.0,Electricity,30904563.0,41206.084
NRAS00068,SouthWest_Plateau State_241 Unity Avenue,734345.0,15.0,4.0,Plaster,10.73598223920558,1991.0,1.0,"Electricity, Internet",44292605.0,59056.80666666666
NRAS00069,NorthCentral_Kogi State_385 Crescent Lane,219365.0,2.0,3.0,Wood,45.14057214217283,1960.0,2.0,Gas,23051248.0,30734.997333333333
NRAS00070,NorthCentral_Nasarawa State_26 Unity Avenue,472332.0,7.0,10.0,Gypsum,26.967730413279973,2000.0,4.0,"Electricity, Solar Power, Internet, Water Supply, Gas",4279651.0,5706.201333333333
NRAS00071,SouthWest_Sokoto State_94 Broadway Road,127587.0,11.0,5.0,Gypsum,18.397106291195406,1993.0,10.0,"Gas, Water Supply, Internet",27064584.0,36086.112
NRAS00072,NorthWest_Ekiti State_465 Broadway Road,168097.0,14.0,8.0,POP,17.088601580756517,2003.0,12.0,Gas,29488981.0,39318.64133333333
NRAS00073,SouthEast_Sokoto State_81 Main Street,687618.0,14.0,3.0,Plaster,15.165783819753216,2016.0,6.0,"Gas, Water Supply, Solar Power",13477642.0,17970.189333333332
NRAS00074,NorthCentral_Abia State_357 Crescent Lane,870749.0,4.0,10.0,POP,26.20957292411234,1986.0,4.0,Gas,44646923.0,59529.23066666667
NRAS00075,SouthEast_Adamawa State_133 Crescent Lane,220976.0,15.0,9.0,Wood,15.84552563514935,1997.0,2.0,"Internet, Water Supply, Gas, Solar Power",22076908.0,29435.877333333334
NRAS00076,NorthCentral_Lagos State_187 SDA Street,685559.0,4.0,7.0,Wood,13.402195885431375,1999.0,4.0,"Water Supply, Electricity, Gas, Solar Power",38680622.0,51574.16266666666
NRAS00077,NorthCentral_Lagos State_133 Crescent Lane,799580.0,5.0,9.0,PVC,36.85201726081634,2009.0,1.0,"Solar Power, Internet",40679450.0,54239.26666666667
NRAS00078,NorthCentral_Ekiti State_176 Main Street,538294.0,10.0,7.0,Wood,29.685151687541392,2017.0,9.0,Gas,25632378.0,34176.504
NRAS00079,SouthEast_Ekiti State_118 Broadway Road,488083.0,8.0,4.0,Plaster,10.943325223342102,1990.0,3.0,"Gas, Water Supply, Solar Power",46350451.0,61800.60133333333
NRAS00080,NorthWest_Oyo State_206 Main Street,736405.0,10.0,10.0,Plaster,44.51531418691562,1959.0,10.0,Solar Power,20546947.0,27395.929333333333
NRAS00081,NorthCentral_Kaduna State_285 Broadway Road,360595.0,12.0,6.0,POP,19.27096064403913,2019.0,9.0,"Solar Power, Gas, Water Supply, Electricity",6055147.0,8073.529333333333
NRAS00082,SouthWest_Enugu State_366 Main Street,432708.0,7.0,10.0,Wood,26.880194135804235,1987.0,9.0,"Gas, Internet, Water Supply, Electricity",8642898.0,11523.864
NRAS00083,SouthWest_Kogi State_106 Unity Avenue,630535.0,13.0,9.0,PVC,34.12320627027749,1981.0,10.0,"Gas, Internet, Solar Power, Water Supply, Electricity",12925857.0,17234.476
NRAS00084,SouthEast_Enugu State_174 Broadway Road,426608.0,11.0,2.0,Gypsum,12.54745151805352,1955.0,7.0,"Water Supply, Internet, Electricity, Solar Power, Gas",6385843.0,8514.457333333334
NRAS00085,NorthEast_Osun State_223 Main Street,353268.0,10.0,4.0,Gypsum,18.536826143057343,1984.0,5.0,"Electricity, Gas, Solar Power, Internet, Water Supply",41493261.0,55324.348
NRAS00086,SouthWest_Adamawa State_401 Main Street,725089.0,2.0,10.0,Wood,10.593401169395666,1969.0,1.0,"Internet, Solar Power",21252928.0,28337.23733333333
NRAS00087,SouthEast_Kaduna State_430 Unity Avenue,694073.0,4.0,2.0,Gypsum,28.497873996712965,1996.0,11.0,"Water Supply, Gas, Electricity",23248289.0,30997.718666666668
NRAS00088,NorthEast_Kebbi State_342 Crescent Lane,725891.0,6.0,1.0,POP,48.58407603594118,2007.0,2.0,"Solar Power, Gas, Electricity, Internet",18650166.0,24866.888
NRAS00089,NorthEast_Kwara State_281 Crescent Lane,432700.0,13.0,1.0,Gypsum,24.40975387544176,1981.0,2.0,"Internet, Water Supply, Gas, Solar Power, Electricity",15947285.0,21263.046666666665
NRAS00090,SouthEast_Borno State_280 Crescent Lane,428488.0,6.0,2.0,POP,42.82499354062578,1973.0,5.0,"Internet, Water Supply, Solar Power, Gas",48731584.0,64975.44533333334
NRAS00091,SouthWest_Nasarawa State_279 Main Street,387165.0,5.0,10.0,Gypsum,48.24809224149506,1970.0,4.0,"Gas, Internet, Water Supply",40650124.0,54200.16533333333
NRAS00092,NorthEast_Imo State_292 Unity Avenue,807851.0,7.0,4.0,Gypsum,48.61987907115442,2002.0,9.0,Electricity,9027497.0,12036.662666666669
NRAS00093,SouthWest_Adamawa State_492 Crescent Lane,380160.0,9.0,9.0,Gypsum,46.02224448153995,1965.0,4.0,"Gas, Internet, Electricity",24875306.0,33167.07466666667
NRAS00094,SouthWest_Ekiti State_336 Broadway Road,260998.0,1.0,4.0,Wood,41.54484984612674,1972.0,12.0,"Internet, Solar Power, Electricity, Gas, Water Supply",1692683.0,2256.9106666666667
NRAS00095,NorthWest_Yobe State_401 Crescent Lane,915613.0,4.0,9.0,Gypsum,36.11643040544047,2002.0,12.0,"Water Supply, Electricity",42326459.0,56435.278666666665
NRAS00096,SouthEast_Yobe State_374 Unity Avenue,389417.0,4.0,10.0,Gypsum,36.65788585305482,1997.0,4.0,"Internet, Solar Power, Electricity, Water Supply, Gas",3733718.0,4978.290666666667
NRAS00097,SouthWest_Nasarawa State_320 Unity Avenue,271346.0,6.0,8.0,POP,28.47336284009689,1978.0,10.0,"Internet, Gas",42560348.0,56747.13066666666
NRAS00098,NorthEast_Sokoto State_477 Broadway Road,577197.0,15.0,2.0,Wood,49.292142870073725,1991.0,11.0,"Gas, Internet, Solar Power, Electricity",24292863.0,32390.484
NRAS00099,NorthEast_Oyo State_132 Main Street,951308.0,6.0,4.0,Wood,14.558593469429674,1963.0,7.0,"Internet, Solar Power, Water Supply",7124573.0,9499.430666666667
NRAS000100,NorthWest_Plateau State_17 Unity Avenue,971817.0,1.0,1.0,Gypsum,23.733098808565963,2012.0,9.0,"Internet, Water Supply, Gas",30937567.0,41250.08933333333
NRAS000101,NorthWest_Enugu State_444 SDA Street,327150.0,10.0,1.0,POP,26.29420333463546,1982.0,8.0,"Gas, Water Supply, Electricity, Solar Power, Internet",27800803.0,37067.73733333333
NRAS000102,SouthWest_Kano State_58 Broadway Road,133968.0,10.0,2.0,Plaster,47.193000063726,1997.0,10.0,"Electricity, Gas, Water Supply",48594154.0,64792.20533333333
NRAS000103,,302387.0,1.0,1.0,Plaster,16.226560187427115,2005.0,2.0,"Solar Power, Water Supply, Electricity",36909942.0,49213.256
NRAS000104,SouthWest_Nasarawa State_114 Main Street,726881.0,14.0,9.0,Plaster,22.25719080912232,1954.0,11.0,"Solar Power, Gas, Electricity, Water Supply, Internet",36632162.0,48842.882666666665
NRAS000105,NorthCentral_Plateau State_340 Broadway Road,716501.0,15.0,2.0,POP,31.27631228943123,1992.0,9.0,"Solar Power, Water Supply",15563447.0,20751.262666666666
NRAS000106,NorthEast_Anambra State_100 Main Street,275732.0,14.0,3.0,PVC,26.153889799631266,1996.0,8.0,"Gas, Electricity, Internet, Solar Power, Water Supply",49211518.0,65615.35733333333
NRAS000107,NorthWest_Kwara State_362 Crescent Lane,849709.0,9.0,9.0,Plaster,17.58603643679222,1962.0,8.0,"Electricity, Water Supply, Gas, Solar Power, Internet",28997448.0,38663.264
NRAS000108,NorthWest_Benue State_472 Main Street,487107.0,13.0,3.0,Wood,17.372914706351512,1980.0,6.0,"Water Supply, Gas, Electricity, Internet",21057098.0,28076.130666666668
NRAS000109,SouthWest_Oyo State_216 Broadway Road,189524.0,4.0,7.0,PVC,32.53710476786797,1966.0,11.0,"Electricity, Solar Power",34560921.0,46081.228
NRAS000110,NorthWest_Ebonyi State_271 Unity Avenue,894742.0,4.0,7.0,Gypsum,15.1546348534061,2014.0,10.0,"Internet, Solar Power",1772246.0,2362.9946666666665
NRAS000111,NorthWest_Ondo State_105 Main Street,264090.0,8.0,2.0,PVC,14.53607803138401,1989.0,7.0,"Electricity, Gas, Water Supply, Solar Power, Internet",3802154.0,5069.538666666666
NRAS000112,SouthEast_Zamfara State_241 Crescent Lane,819316.0,3.0,2.0,PVC,29.309519024540123,2014.0,10.0,"Internet, Electricity, Water Supply, Solar Power, Gas",36083204.0,48110.93866666667
NRAS000113,NorthWest_Plateau State_361 SDA Street,977523.0,6.0,6.0,POP,24.84202295637859,2022.0,12.0,"Solar Power, Internet, Water Supply, Electricity",26930854.0,35907.80533333333
NRAS000114,SouthEast_Benue State_206 Crescent Lane,478709.0,7.0,4.0,Gypsum,47.78055458662437,2013.0,10.0,"Water Supply, Gas",15968966.0,21291.95466666667
NRAS000115,SouthWest_Anambra State_423 Main Street,522320.0,13.0,4.0,Wood,37.06602078014747,2009.0,6.0,"Electricity, Internet, Gas, Water Supply, Solar Power",42023497.0,56031.329333333335
NRAS000116,SouthEast_Bauchi State_249 Main Street,662659.0,13.0,7.0,Plaster,36.27717667368851,1984.0,10.0,"Gas, Electricity",23693382.0,31591.176
NRAS000117,SouthWest_Kano State_265 SDA Street,113761.0,13.0,6.0,Wood,37.46427975884587,2021.0,4.0,"Water Supply, Internet",45504325.0,60672.43333333333
NRAS000118,SouthEast_Nasarawa State_479 Broadway Road,985277.0,1.0,1.0,Plaster,12.105613434387612,1978.0,6.0,"Internet, Gas, Water Supply, Electricity",48000770.0,64001.026666666665
NRAS000119,SouthWest_Enugu State_414 Crescent Lane,878793.0,11.0,6.0,PVC,41.45937920796253,1950.0,7.0,"Water Supply, Electricity",44990388.0,59987.184
NRAS000120,SouthWest_Ebonyi State_279 Main Street,728663.0,1.0,8.0,POP,45.67072499205483,2010.0,4.0,Gas,40709663.0,54279.55066666667
NRAS000121,SouthWest_Ebonyi State_454 Broadway Road,575928.0,4.0,3.0,Gypsum,34.47641905300431,2022.0,1.0,"Gas, Electricity, Internet, Water Supply, Solar Power",14790885.0,19721.18
NRAS000122,NorthEast_Lagos State_370 Unity Avenue,830524.0,6.0,2.0,PVC,42.85026413932441,2000.0,10.0,"Solar Power, Gas, Electricity, Internet",8796034.0,11728.045333333332
NRAS000123,SouthEast_Anambra State_114 SDA Street,175447.0,10.0,2.0,Gypsum,26.69969666020183,1979.0,5.0,"Water Supply, Electricity, Gas",9431937.0,12575.916
NRAS000124,NorthEast_Benue State_79 SDA Street,957509.0,15.0,5.0,Plaster,35.67218936234562,2024.0,7.0,"Water Supply, Gas",33003907.0,44005.20933333333
NRAS000125,NorthEast_Kebbi State_469 Unity Avenue,332028.0,12.0,10.0,PVC,25.24190596370773,1998.0,1.0,Water Supply,12723817.0,16965.089333333333
NRAS000126,NorthCentral_Ondo State_77 Crescent Lane,157578.0,6.0,8.0,Wood,44.737541891840166,1958.0,4.0,"Water Supply, Gas",30870587.0,41160.782666666666
NRAS000127,NorthWest_Adamawa State_342 Main Street,282205.0,15.0,4.0,Plaster,17.280788230828122,1987.0,6.0,"Internet, Solar Power, Gas",42077670.0,56103.56
NRAS000128,NorthWest_Anambra State_458 Broadway Road,552020.0,6.0,5.0,Gypsum,16.739544318924857,2003.0,7.0,"Solar Power, Electricity, Internet",28688342.0,38251.12266666667
NRAS000129,NorthWest_Ondo State_449 Crescent Lane,298868.0,14.0,4.0,PVC,27.66847605677729,2023.0,12.0,"Solar Power, Internet, Gas, Water Supply, Electricity",42250333.0,56333.77733333333
NRAS000130,NorthCentral_Oyo State_256 SDA Street,407600.0,8.0,2.0,Gypsum,25.65774197118624,1954.0,5.0,"Solar Power, Electricity",13346089.0,17794.785333333333
NRAS000131,SouthEast_Taraba State_497 Unity Avenue,521511.0,8.0,1.0,Gypsum,16.888616468958393,1984.0,9.0,"Water Supply, Internet, Gas, Electricity",48902304.0,65203.072
NRAS000132,NorthEast_Bauchi State_479 SDA Street,489695.0,14.0,4.0,Wood,32.35006982999829,2020.0,2.0,"Internet, Gas",40276719.0,53702.292
NRAS000133,NorthCentral_Imo State_27 Main Street,645088.0,2.0,8.0,Wood,40.28409910413852,1991.0,8.0,"Water Supply, Solar Power",18067460.0,24089.946666666667
NRAS000134,NorthWest_Ondo State_484 Crescent Lane,394242.0,10.0,10.0,PVC,28.619421154152715,1970.0,4.0,Solar Power,16386216.0,21848.288
NRAS000135,NorthCentral_Bauchi State_46 Crescent Lane,860034.0,3.0,7.0,Plaster,43.5000726967042,2003.0,5.0,"Electricity, Solar Power, Water Supply, Internet",38656729.0,51542.30533333333
NRAS000136,SouthEast_Bauchi State_36 Crescent Lane,366369.0,9.0,6.0,POP,17.898058291333694,1984.0,12.0,"Electricity, Internet",7664396.0,10219.194666666666
NRAS000137,NorthWest_Kano State_466 Unity Avenue,180660.0,8.0,3.0,Gypsum,46.82720992023952,1980.0,3.0,"Water Supply, Solar Power, Electricity",15933279.0,21244.372
NRAS000138,SouthEast_Kaduna State_160 Broadway Road,875635.0,11.0,9.0,Plaster,45.41037011404195,1968.0,6.0,"Internet, Water Supply, Solar Power, Gas",43500258.0,58000.344
NRAS000139,NorthEast_Yobe State_180 Main Street,330647.0,12.0,10.0,Gypsum,11.063893049656318,1977.0,4.0,"Solar Power, Internet, Electricity",34663277.0,46217.70266666666
NRAS000140,NorthEast_Osun State_243 Main Street,128974.0,1.0,4.0,Gypsum,13.902883341361566,1959.0,11.0,"Electricity, Internet, Solar Power, Gas",16858107.0,22477.476
NRAS000141,NorthWest_Kebbi State_216 Crescent Lane,885374.0,12.0,2.0,Gypsum,25.437090245822013,1994.0,4.0,"Electricity, Water Supply, Internet",19540096.0,26053.461333333333
NRAS000142,SouthEast_Kaduna State_332 Unity Avenue,127099.0,14.0,8.0,Plaster,47.78587692220644,2012.0,1.0,Electricity,15218714.0,20291.618666666665
NRAS000143,NorthWest_Plateau State_109 Crescent Lane,382053.0,7.0,6.0,Plaster,43.178664198674674,2017.0,5.0,"Solar Power, Internet, Electricity",37282042.0,49709.38933333333
NRAS000144,NorthCentral_Yobe State_195 Unity Avenue,130272.0,6.0,10.0,Gypsum,47.06572638473204,1987.0,7.0,"Solar Power, Internet",2926945.0,3902.593333333333
NRAS000145,NorthCentral_Kogi State_167 Broadway Road,576408.0,7.0,7.0,PVC,20.52714091866054,1977.0,11.0,"Internet, Electricity, Water Supply",38308688.0,51078.25066666667
NRAS000146,NorthWest_Osun State_271 Broadway Road,606835.0,5.0,6.0,PVC,39.83581243243032,1976.0,7.0,Water Supply,5642906.0,7523.874666666667
NRAS000147,SouthWest_Kaduna State_113 Broadway Road,813372.0,7.0,8.0,Plaster,32.558784297117995,1983.0,6.0,"Water Supply, Gas",12499442.0,16665.922666666665
NRAS000148,NorthWest_Enugu State_276 SDA Street,279540.0,1.0,4.0,Wood,16.97592001716197,1976.0,6.0,Water Supply,9292371.0,12389.828
NRAS000149,NorthCentral_Osun State_120 Broadway Road,871212.0,15.0,7.0,POP,40.38608652258699,1977.0,3.0,"Gas, Solar Power, Water Supply, Electricity",28768721.0,38358.29466666667
NRAS000150,NorthEast_Lagos State_136 Broadway Road,626170.0,9.0,8.0,Gypsum,23.755225049087585,1999.0,10.0,Gas,18020332.0,24027.109333333334
NRAS000151,SouthEast_Nasarawa State_263 Crescent Lane,150543.0,7.0,7.0,Plaster,43.741291403282425,1982.0,9.0,Solar Power,46908874.0,62545.16533333333
